Note,Duration,Offset
0,384,0
56,72,384
0,24,456
57,72,480
0,24,552
56,72,576
0,24,648
57,72,672
0,18,744
5,6,762
5,6,768
4,6,774
4,6,780
2,6,786
2,6,792
6,12,798
6,12,810
7,12,822
7,6,834
6,6,840
2,6,846
4,6,852
5,6,858
8,6,864
5,6,870
5,6,876
4,6,882
4,6,888
4,6,894
4,6,900
4,12,906
2,6,918
6,12,924
0,6,936
6,6,942
2,6,948
4,6,954
5,6,960
4,6,966
4,6,972
2,6,978
2,6,984
6,12,990
4,0,1002
0,2,1002
2,9,1004
0,1,1013
6,6,1014
7,36,1020
58,9,1056
0,3,1065
2,6,1068
9,24,1074
5,0,1098
0,2,1098
4,40,1100
0,6,1140
5,6,1146
5,6,1152
4,6,1158
4,6,1164
2,6,1170
2,6,1176
6,12,1182
6,12,1194
7,12,1206
7,6,1218
6,6,1224
2,6,1230
4,6,1236
5,6,1242
59,0,1248
0,3,1248
8,21,1251
5,6,1272
4,6,1278
2,6,1284
6,12,1290
6,12,1302
10,6,1314
7,6,1320
6,6,1326
2,6,1332
4,6,1338
59,0,1344
0,3,1344
5,21,1347
4,6,1368
2,6,1374
6,6,1380
7,12,1386
7,12,1398
11,6,1410
10,6,1416
7,6,1422
6,6,1428
2,6,1434
58,0,1440
0,3,1440
2,3,1443
9,42,1446
0,6,1488
5,0,1494
0,2,1494
4,4,1496
2,6,1500
9,6,1506
2,6,1512
4,6,1518
5,6,1524
8,6,1530
5,6,1536
4,6,1542
2,6,1548
6,6,1554
7,18,1560
10,6,1578
11,6,1584
12,6,1590
13,6,1596
12,6,1602
11,6,1608
10,6,1614
7,6,1620
5,6,1626
4,6,1632
2,6,1638
6,6,1644
7,6,1650
10,6,1656
11,6,1662
12,6,1668
13,6,1674
12,6,1680
11,6,1686
10,6,1692
11,6,1698
12,6,1704
11,6,1710
10,6,1716
7,6,1722
6,12,1728
7,6,1740
10,6,1746
7,6,1752
2,6,1758
9,12,1764
10,6,1776
7,6,1782
10,6,1788
14,6,1794
10,6,1800
7,12,1806
10,12,1818
10,12,1830
10,12,1842
10,12,1854
10,6,1866
10,24,1872
0,6,1896
5,6,1902
5,6,1908
5,6,1914
5,12,1920
4,12,1932
8,12,1944
5,6,1956
15,12,1962
8,12,1974
16,12,1986
15,6,1998
17,6,2004
16,6,2010
15,12,2016
8,6,2028
5,6,2034
4,6,2040
5,6,2046
4,6,2052
2,24,2058
6,12,2082
2,6,2094
4,6,2100
5,6,2106
16,12,2112
15,6,2124
8,6,2130
5,6,2136
4,6,2142
2,6,2148
6,6,2154
60,45,2160
0,3,2205
10,6,2208
7,6,2214
9,6,2220
7,6,2226
10,6,2232
0,6,2238
10,6,2244
7,6,2250
9,6,2256
7,6,2262
10,6,2268
7,6,2274
9,6,2280
2,6,2286
4,6,2292
5,12,2298
4,12,2310
8,12,2322
5,6,2334
4,6,2340
8,12,2346
5,6,2358
4,6,2364
15,6,2370
8,6,2376
5,6,2382
4,6,2388
8,6,2394
5,12,2400
4,6,2412
2,6,2418
6,30,2424
8,6,2454
5,6,2460
4,6,2466
5,6,2472
8,6,2478
15,6,2484
16,6,2490
17,12,2496
16,6,2508
15,6,2514
16,6,2520
18,6,2526
17,12,2532
16,6,2544
15,6,2550
16,6,2556
15,6,2562
19,6,2568
15,6,2574
16,6,2580
15,12,2586
15,12,2598
15,6,2610
15,18,2616
15,42,2634
0,12,2676
20,54,2688
20,12,2742
12,6,2754
13,6,2760
11,6,2766
12,12,2772
0,6,2784
13,12,2790
0,-10,2802
11,9,2792
0,-8,2801
61,15,2793
0,-6,2808
21,6,2802
22,24,2808
23,12,2832
0,12,2844
23,12,2856
12,6,2868
62,12,2874
22,6,2886
25,12,2892
26,18,2904
25,6,2922
27,48,2928
0,12,2976
10,6,2988
7,6,2994
0,6,3000
10,6,3006
7,6,3012
0,12,3018
10,6,3030
7,6,3036
0,12,3042
10,18,3054
63,36,3072
2,6,3108
4,6,3114
15,18,3120
8,30,3138
0,6,3168
26,6,3174
13,6,3180
10,6,3186
6,6,3192
8,6,3198
5,6,3204
4,54,3210
0,6,3264
29,6,3270
21,6,3276
12,6,3282
7,6,3288
5,6,3294
4,6,3300
2,54,3306
7,3,3360
10,3,3363
14,3,3366
7,3,3369
10,6,3372
0,18,3378
7,3,3396
10,3,3399
14,3,3402
7,3,3405
10,36,3408
0,6,3444
5,6,3450
5,6,3456
4,6,3462
4,6,3468
2,6,3474
2,6,3480
6,12,3486
6,6,3498
6,6,3504
7,6,3510
0,6,3516
21,6,3522
12,6,3528
7,6,3534
6,6,3540
2,6,3546
4,6,3552
5,6,3558
8,6,3564
5,6,3570
5,6,3576
4,6,3582
4,6,3588
2,6,3594
2,6,3600
6,6,3606
6,18,3612
2,12,3630
4,6,3642
5,6,3648
4,6,3654
4,6,3660
2,6,3666
2,6,3672
6,12,3678
6,12,3690
7,6,3702
0,6,3708
21,6,3714
12,6,3720
7,6,3726
6,6,3732
2,6,3738
4,12,3744
2,6,3756
9,6,3762
2,6,3768
7,6,3774
2,6,3780
9,12,3786
7,6,3798
10,6,3804
14,6,3810
10,24,3816
15,12,3840
8,6,3852
5,6,3858
4,6,3864
2,6,3870
6,6,3876
7,12,3882
10,6,3894
7,6,3900
6,6,3906
2,6,3912
4,6,3918
5,6,3924
17,6,3930
16,12,3936
15,6,3948
18,6,3954
17,18,3960
16,6,3978
0,6,3984
30,12,3990
30,6,4002
30,6,4008
31,6,4014
31,6,4020
32,6,4026
32,12,4032
31,6,4044
30,6,4050
31,6,4056
30,6,4062
18,6,4068
30,0,4074
0,2,4074
31,0,4076
0,1,4076
30,9,4077
18,6,4086
33,6,4092
18,12,4098
30,6,4110
31,6,4116
32,6,4122
32,12,4128
0,18,4140
31,6,4158
31,12,4164
0,18,4176
30,6,4194
30,6,4200
18,6,4206
17,12,4212
18,12,4224
17,24,4236
16,18,4260
15,12,4278
16,6,4290
17,6,4296
18,6,4302
30,6,4308
31,6,4314
32,6,4320
31,6,4326
31,6,4332
30,6,4338
30,6,4344
18,6,4350
18,36,4356
0,6,4392
17,6,4398
18,6,4404
30,6,4410
31,6,4416
30,6,4422
30,6,4428
18,6,4434
18,12,4440
17,6,4452
17,12,4458
16,42,4470
0,6,4512
21,3,4518
22,3,4521
34,24,4524
0,6,4548
21,3,4554
22,3,4557
25,12,4560
26,30,4572
0,6,4602
5,18,4608
4,6,4626
2,6,4632
6,12,4638
7,24,4650
7,6,4674
6,6,4680
2,6,4686
4,6,4692
5,6,4698
8,6,4704
5,6,4710
5,6,4716
4,6,4722
4,6,4728
2,12,4734
6,30,4746
10,6,4776
7,6,4782
6,6,4788
2,6,4794
5,6,4800
4,6,4806
4,6,4812
2,6,4818
2,6,4824
6,12,4830
7,30,4842
11,6,4872
10,6,4878
7,6,4884
6,6,4890
4,6,4896
2,6,4902
2,6,4908
9,6,4914
9,60,4920
0,12,4980
35,36,4992
0,12,5028
36,18,5040
10,6,5058
36,12,5064
10,6,5076
36,12,5082
10,6,5094
12,6,5100
36,6,5106
10,6,5112
12,6,5118
36,6,5124
0,6,5130
37,12,5136
6,6,5148
11,6,5154
37,6,5160
6,6,5166
11,6,5172
37,12,5178
6,6,5190
11,6,5196
37,6,5202
6,6,5208
11,6,5214
37,6,5220
0,6,5226
38,12,5232
12,12,5244
38,6,5256
7,6,5262
12,6,5268
38,12,5274
7,6,5286
12,6,5292
38,6,5298
7,6,5304
12,6,5310
38,6,5316
0,6,5322
39,12,5328
10,6,5340
13,6,5346
39,6,5352
10,6,5358
13,6,5364
39,30,5370
0,6,5400
10,6,5406
40,6,5412
9,6,5418
2,24,5424
9,18,5448
2,24,5466
2,6,5490
9,12,5496
2,6,5508
9,6,5514
6,24,5520
40,18,5544
6,24,5562
6,6,5586
40,12,5592
6,6,5604
40,6,5610
7,24,5616
10,12,5640
7,18,5652
13,6,5670
12,6,5676
11,6,5682
14,12,5688
7,6,5700
10,24,5706
13,6,5730
10,60,5736
0,12,5796
7,6,5808
5,6,5814
4,6,5820
5,36,5826
12,6,5862
2,6,5868
4,6,5874
5,6,5880
4,6,5886
8,6,5892
5,12,5898
4,6,5910
2,6,5916
6,36,5922
10,6,5958
7,6,5964
6,6,5970
2,6,5976
